WARD NO,AGE,GENDER,MONTHLY INCOME,VEHICLE OWNERSHIP,"IF HAVE, VEHICLE TYPE",NEAREST STOP DISTANCE (m),REGUALR TRAVEL DISTANCE (km),TRAVEL MODE FOR LESS THAN 5KM,REGULAR TRAVEL MODE,WORK,SHOPPING,SOCIAL LIFE
31,40,Female ,35000,No,,400,10,Rickshaw,CNG,Bus,Rickshaw,CNG
31,56,Male ,45000,No,,450,3,Rickshaw,CNG,Bus,Rickshaw,CNG
31,24,Male ,12000,No,,200,4,Walking,Laguna,Laguna,CNG,CNG
31,45,Male ,100000,Yes,Motorcycle,820,4.3,Walking,others,others,others,others
31,28,Male ,17000,No,,340,8,Motorcycle,Bus,Bus,Rickshaw,CNG
31,52,Male ,200000,Yes,Car,300,12,Rickshaw,others,others,others,others
31,22,Male ,7000,No,,280,7,Rickshaw,Bus,Motorcycle,Rickshaw,Motorcycle
31,23,Male ,90000,No,,150,6,Motorcycle,Bus,Bus,CNG,CNG
31,42,Female ,50000,Yes,Motorcycle,200,10,Rickshaw,others,Motorcycle,Motorcycle,Motorcycle
31,20,Female ,60000,No,,370,5,Walking,Bus,Bus,CNG,CNG
31,36,Female ,32000,No,,400,8,Walking,Bus,Bus,CNG,CNG
31,32,Male ,25000,No,,600,10,Rickshaw,CNG,Rickshaw,Rickshaw,Rickshaw
31,35,Male ,25000,No,,700,3,others,Rickshaw,Rickshaw,CNG,CNG
31,38,Male ,22000,Yes,Car,100,4,Laguna,others,others,others,others
31,28,Male ,16000,No,,200,5,others,Bus,Bus,CNG,CNG
31,24,Male ,12000,No,,700,2.7,Motorcycle,Bus,Bus,Rickshaw,CNG
31,45,Male ,20000,No,,400,3.4,Rickshaw,Rickshaw,Rickshaw,Rickshaw,CNG
31,20,Male ,0,No,,600,5,Walking,Bus,Bus,CNG,CNG
31,25,Female ,16000,Yes,,200,6,others,others,others,Rickshaw,CNG
31,27,Male ,15000,No,,500,4,Rickshaw,Rickshaw,Rickshaw,Rickshaw,Rickshaw
31,31,Female ,20000,No,,400,5,Walking,Rickshaw,Rickshaw,CNG,CNG
31,32,Male ,25000,Yes,Motorcycle,700,8,Walking,others,Motorcycle,Motorcycle,Motorcycle
31,27,Male ,20000,No,,100,2.9,Rickshaw,Bus,Bus,Rickshaw,Rickshaw
31,25,Male ,13000,Yes,Motorcycle,300,3.2,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Motorcycle
31,22,Male ,16000,No,,400,2.7,Walking,Rickshaw,Rickshaw,Rickshaw,CNG
31,26,Male ,28000,Yes,Motorcycle,200,2.8,Walking,others,Motorcycle,Motorcycle,Motorcycle
32,25,Male,20000,No,,250,2,Rickshaw,Laguna,Laguna,Rickshaw,others
32,28,Male,50000,Yes,Motorcycle,100,1.7,Motorcycle,Motorcycle,Motorcycle,CNG,Motorcycle
32,31,Male,20000,No,,100,4.8,Rickshaw,CNG,Bus,CNG,CNG
32,35,Male,16000,No,,130,3,others,others,Bus,others,Motorcycle
32,22,Male,12000,No,,250,1.5,Rickshaw,CNG,CNG,Rickshaw,CNG
32,25,Female ,20000,No,,100,3,Rickshaw,CNG,Bus,Rickshaw,Rickshaw
32,36,Male,25000,No,,100,4,Walking,Laguna,Motorcycle,CNG,Motorcycle
32,30,Male,25000,No,,150,5,Walking,others,CNG,others,Rickshaw
32,42,Male,35000,No,Motorcycle,330,4,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Motorcycle
32,37,Male,30000,No,,300,7,Rickshaw,others,Motorcycle,others,Motorcycle
32,52,Female ,40000,No,,200,5.7,Rickshaw,Bus,Bus,Rickshaw,Motorcycle
32,44,Male,60000,Yes,Motorcycle,200,3,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Motorcycle
32,28,Male,18000,No,,120,5,Rickshaw,others,CNG,others,CNG
32,23,Male,9000,No,,300,4,Walking,Bus,CNG,CNG,Motorcycle
32,20,Male,4000,No,,500,5,Walking,Bus,CNG,CNG,Rickshaw
32,24,Male,10000,No,,800,6,Rickshaw,CNG,Bus,Rickshaw,Rickshaw
32,33,Male,240000,Yes,Car,200,5,others,others,others,others,others
32,27,Male,15000,No,,200,8,Laguna,Bus,Bus,others,Bus
32,23,Male,6000,No,,300,10,others,Bus,Bus,CNG,Motorcycle
32,25,Female ,20000,Yes,Motorcycle,240,12,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Motorcycle
32,28,Male,25000,No,,200,3,Rickshaw,Rickshaw,Bus,Rickshaw,Bus
32,32,Male,20000,No,,430,3,Walking,Bus,others,CNG,others
32,20,Male,12000,No,,200,2,others,others,Bus,Rickshaw,CNG
32,22,Male,9000,No,,200,6,Rickshaw,Rickshaw,Bus,Rickshaw,CNG
32,20,Male,3000,No,,500,2.6,Walking,Rickshaw,Bus,CNG,Bus
32,24,Male,12000,No,,300,1.8,Walking,others,Motorcycle,others,Motorcycle
32,32,Female ,7000,No,,400,4,Rickshaw,Bus,Bus,Rickshaw,Bus
32,24,Male,15000,No,,400,3.2,others,others,CNG,others,Bus
32,25,Male,15000,No,,400,5,Walking,Rickshaw,Motorcycle,Rickshaw,Motorcycle
32,26,Male,20000,No,,300,4.6,Walking,Bus,Bus,others,Laguna
32,25,Male,220000,Yes,Car,300,5,others,others,others,,others
20,18,Female,9500,No,-,900,11,Walking,Bus,Bus,Bus,-
20,18,Female,9500,No,-,900,11,Walking,Bus,Bus,Bus,-
20,21,Female,9500,No,-,900,11,Walking,Bus,Bus,Bus,-
20,26,Male,1200,No,-,900,11,Walking,Bus,Bus,Bus,-
20,25,Male,1200,No,-,900,11,Walking,Bus,Bus,Bus,-
20,22,Male,1300,No,-,900,11,Walking,Bus,Bus,Bus,-
20,25,Male,15000,No,-,900,11,Walking,others,Bus,Bus,-
20,32,Male,15000,Yes,Motorcycle,900,11,Walking,Bus,Bus,Bus,-
20,40,Female,15000,No,-,900,11,Walking,Bus,Bus,CNG,CNG
20,42,Male,25000,No,-,900,5.5,Walking,Bus,Bus,Bus,-
20,53,Male,200000,No,-,250,1.7,Walking,Bus,Rickshaw,Walking,-
20,28,Male,12000,No,-,500,5.5,Walking,Bus,Bus,Bus,-
20,20,Male,7000,No,-,500,8.2,Walking,others,others,Bus,-
20,28,Male,20000,No,-,900,2.7,Rickshaw,Bus,Bus,Bus,-
20,40,Male,40000,No,-,500,3.5,Walking,CNG,CEG,Rickshaw,
20,28,Male,20000,No,-,500,8.1,Rickshaw,Bus,Bus,Bus,Bus
20,34,Male,30000,No,-,500,1,Walking,Rickshaw,Rickshaw,CNG,-
20,20,Male,8000,No,-,500,1,Rickshaw,Rickshaw,Walking,Rickshaw,-
20,46,Male,10000,No,-,600,2.5,Rickshaw,Bus,Bus,Rickshaw,CNG
20,33,Male,15000,No,-,500,1.2,Rickshaw,Bus,Walking,CNG,CNG
20,25,Male,0,Yes,Motorcycle,500,1.2,Motorcycle,Motorcycle,Motorcycle,Motorcycle,-
20,23,Male,12000,Yes,Motorcycle,800,8.9,Walking,Bus,Bus,Walking,-
20,30,Male,10000,No,-,800,8.4,Walking,Bus,Bus,Bus,-
20,45,Male,30000,Yes,Motorcycle,200,8.8,Walking,others,others,Bus,-
20,38,Male,16000,No,-,900,5,Walking,Bus,Bus,Bus,-
20,24,Male,6000,No,-,200,8.7,Walking,Bus,Bus,Bus,-
20,37,Male,12000,No,-,500,8.2,Walking,Bus,Bus,Bus,-
20,35,Male,20000,No,-,900,2.2,Walking,Bus,Bus,Bus,-
20,30,Male,20000,No,-,500,2.1,Walking,Bus,Bus,Bus,-
20,18,Male,0,No,-,900,1,Walking,Bus,Bus,Bus,
39,32,Female,0,No,-,500,2.5,Walking,Walking,Walking,CNG,-
39,19,Female,0,No,-,500,12,Rickshaw,Bus,-,Rickshaw,-
39,41,Male,20000,No,-,700,2.6,Walking,Bus,Bus,Bus,-
39,58,Male,20000,No,-,500,8.1,Walking,Bus,Bus,Walking,-
39,38,Male,20000,No,-,900,10,Walking,Bus,Bus,Bus,-
39,20,Female,20000,No,-,250,1,Walking,Walking,Walking,Rickshaw,-
39,20,Female,20000,No,-,500,2.6,Walking,Walking,Walking,Walking,-
39,20,Female,20000,No,-,500,2.6,Walking,Rickshaw,Walking,Walking,-
39,26,Male,20000,No,-,200,2.6,Walking,CNG,CNG,Walking,-
39,38,Male,20000,No,-,200,2.6,Walking,Bus,CNG,Rickshaw,-
39,21,Female,20000,No,-,500,11,Walking,Bus,Bus,Walking,-
39,19,Male,20000,No,-,500,1,Walking,Walking,Walking,Walking,-
39,25,Male,20000,Yes,Motorcycle,500,1,Walking,Walking,Walking,Walking,-
39,12,Male,0,Yes,Cycle,500,1,Walking,Walking,Walking,Rickshaw,-
39,12,Male,0,No,-,500,1,Walking,Walking,Walking,Walking,-
39,25,Male,15000,No,-,500,1,Walking,Bus,Walking,Walking,-
39,22,Female,15000,No,-,500,1,Walking,Walking,Walking,Walking,-
39,26,Male,8000,No,-,250,1,Walking,Walking,Walking,Walking,-
39,25,Male,20000,No,-,250,1,Walking,Walking,Walking,Walking,-
39,21,Male,0,No,-,250,1,Walking,Rickshaw,Walking,Walking,-
39,26,Male,10000,No,-,250,1,Walking,Walking,Walking,Walking,-
39,21,Male,10000,No,-,500,1,Walking,Walking,Walking,Bus,-
39,35,Male,25000,No,-,500,1,Walking,Walking,Walking,Walking,-
39,27,Male,20000,No,-,500,2.6,Walking,Bus,Walking,Walking,-
39,18,Female,8000,No,-,700,2.6,Walking,Rickshaw,Walking,Walking,-
39,18,Female,8000,No,-,700,2.6,Walking,Rickshaw,Walking,Walking,-
39,20,Female,14000,No,-,500,1,Walking,Rickshaw,Walking,Walking,-
39,29,Female,19000,No,-,500,2.6,Walking,Rickshaw,Walking,Walking,-
39,19,Female,12000,No,-,500,1,Walking,Walking,Walking,Walking,-
39,18,Female,10000,No,-,500,2.6,Walking,Walking,Walking,Walking,-
39,18,Female,8000,No,-,250,1,Walking,Walking,Walking,Walking,-
14,25,Male,30000,Yes,Motorcycle,900,6.5,Walking,Motorcycle,Motorcycle,Motorcycle,-
14,33,Male,9000,Yes,Motorcycle,100,1.9,Walking,Motorcycle,Motorcycle,Motorcycle,-
14,30,Male,10000,Yes,Motorcycle,900,6.2,Walking,Motorcycle,Motorcycle,Motorcycle,-
14,27,Male,20000,Yes,Motorcycle,500,1.9,Walking,Motorcycle,Motorcycle,Motorcycle,-
14,19,Female,0,No,-,800,8.9,Walking,Bus,-,Bus,-
14,36,Male,18000,No,-,900,3.8,Walking,Rickshaw,Rickshaw,Rickshaw,-
14,32,Male,12000,No,-,900,5.3,Walking,Bus,Bus,Bus,-
14,41,Male,15000,No,-,200,2.2,Walking,others,others,Bus,-
14,23,Male,800,No,-,500,1.3,Walking,Bus,Bus,Bus,-
14,64,Male,9000,No,-,950,1.9,Rickshaw,Bus,Bus,Bus,-
14,39,Male,11000,No,-,300,2.2,Walking,Rickshaw,Rickshaw,Bus,-
14,28,Male,20000,No,-,900,6.5,Walking,Bus,Bus,Walking,-
14,35,Male,15000,No,-,500,6.2,Walking,Bus,Bus,Walking,-
14,25,Male,8000,No,-,850,2.2,Walking,Bus,Bus,Bus,-
14,28,Male,13000,Yes,Cycle,700,7,Walking,Bus,Bus,Bus,-
14,21,Female,10000,No,-,750,8.9,Walking,Bus,Bus,Bus,-
14,21,Male,8000,No,-,900,2.9,Walking,Bus,Bus,Rickshaw,-
14,18,Female,10000,No,-,900,2.9,Walking,Bus,Bus,Rickshaw,-
14,22,Male,9000,No,-,700,1.2,Walking,Bus,Bus,Bus,-
14,23,Male,9000,No,-,900,6.5,Walking,Bus,Bus,Bus,-
14,38,Male,10000,Yes,Motorcycle,900,2.9,Motorcycle,Bus,Motorcycle,Motorcycle,-
14,23,Female,3000,No,-,100,7,Walking,Bus,Bus,Rickshaw,-
14,21,Female,0,No,-,950,1.6,Walking,Bus,Bus,Rickshaw,-
14,18,Male,7000,No,-,500,2.9,Walking,Bus,Bus,Bus,-
14,50,Male,11000,No,-,100,8.9,Walking,Bus,Bus,Bus,-
14,29,Male,0,No,-,950,1.3,Walking,Bus,Bus,Rickshaw,-
14,28,Male,20000,No,-,200,2.9,Walking,Bus,Bus,Bus,-
14,25,Male,0,No,-,900,1.9,Walking,Bus,-,Bus,-
14,22,Male,5000,No,-,900,1.9,Walking,Bus,Bus,Bus,-
14,38,Female,0,No,-,500,6.2,Walking,Rickshaw,-,Bus,-
40,33,Male,15000,Yes,Rickshaw,950,2.8,Rickshaw,Rickshaw,Rickshaw,Bus,-
40,33,Male,15000,No,-,500,3,Walking,Bus,Bus,Bus,-
40,20,Male,40000,No,-,500,2.9,Walking,CNG,Bus,Bus,-
40,50,Male,20000,No,-,500,4.5,others,others,others,Bus,-
40,26,Male,15000,No,-,800,9.6,Walking,Bus,Bus,Bus,-
40,28,Male,0,No,-,200,3.1,Walking,CNG,-,Bus,-
40,15,Male,15000,No,-,200,2.2,Walking,Walking,Walking,Bus,-
40,32,Male,25000,No,-,500,24,Walking,Bus,Bus,Bus,-
40,29,Male,12000,No,-,950,2.2,Walking,Walking,Walking,Walking,-
40,25,Female,11000,No,-,500,22,Walking,Bus,Bus,Bus,-
40,32,Male,10000,No,-,900,3.1,Walking,others,others,Rickshaw,-
40,26,Female,16000,No,-,150,8.5,Walking,Bus,Bus,Bus,-
40,22,Female,13000,No,-,900,4.5,Walking,Bus,Bus,Walking,-
40,18,Female,10000,No,-,900,2.6,Walking,Bus,Bus,Bus,-
40,26,Female,35000,No,-,900,16,Walking,Bus,Bus,Bus,-
40,25,Male,30000,No,-,200,2.9,Walking,Bus,Bus,Rickshaw,-
40,16,Male,13000,No,-,200,1,Walking,Walking,Walking,Walking,-
40,19,Female,25000,No,-,100,16,Walking,Bus,Rickshaw,Bus,-
40,33,Male,20000,No,-,150,1,Walking,Walking,Walking,Walking,-
40,18,Male,10000,No,-,100,3.1,Walking,Walking,Bus,Walking,-
40,20,Female,12000,No,-,900,4.5,Walking,Bus,Bus,Walking,-
40,19,Female,11000,No,-,100,9.6,Walking,Bus,Bus,Walking,-
40,12,Male,7000,No,-,900,1.7,Walking,Walking,Walking,Walking,-
40,35,Female,40000,No,-,900,4.5,Rickshaw,Bus,Bus,Rickshaw,-
40,27,Female,38000,No,-,500,4.5,others,Bus,Bus,Rickshaw,-
40,25,Male,50000,No,-,500,9.3,Rickshaw,Bus,Bus,Rickshaw,-
40,19,Female,10000,No,-,300,1,Walking,Walking,Walking,Walking,-
40,21,Male,22000,No,-,200,2.2,Walking,Bus,Bus,Rickshaw,-
40,19,Female,12000,No,-,500,4.5,Walking,Bus,Bus,Rickshaw,-
40,26,Female,0,No,-,500,2.2,Walking,Bus,-,Bus,-
28,30,Male,13000,No,-,900,4.9,Walking,others,others,others,-
28,33,Male,15000,No,,950,1.2,Walking,Bus,Bus,Bus,-
28,26,Male,50000,No,,950,11,Walking,Walking,Walking,Bus,-
28,36,Male,14000,Yes,Motorcycle,300,4.19,Walking,others,others,CNG,-
28,29,Male,15000,No,-,950,9.5,Walking,others,others,Bus,-
28,27,Male,10000,No,-,500,1.9,Walking,Bus,Bus,Bus,-
28,35,Female,0,No,-,900,9.5,Walking,Walking,-,-,-
28,19,Male,20000,No,-,50,4.8,Walking,Bus,Bus,CNG,-
28,28,Male,12000,No,-,50,2.4,Walking,Bus,Bus,Bus,-
28,37,Male,15000,No,-,800,11,Walking,CNG,Bus,Rickshaw,-
28,25,Male,30000,Yes,Cycle,500,2.4,Walking,Bus,Bus,Bus,-
28,25,Male,8000,No,-,900,1.9,Walking,Bus,Bus,Walking,-
28,25,Male,150000,Yes,Motorcycle,100,13,Motorcycle,Motorcycle,Motorcycle,Walking,-
28,23,Female,0,No,-,100,1.2,Walking,Walking,Walking,Walking,-
28,23,Male,7000,No,-,200,9.3,Walking,Bus,Bus,Bus,-
28,44,Male,20000,No,-,500,27,Walking,Bus,Bus,,-
28,29,Male,30000,Yes,Car,50,2.8,others,others,others,others,-
28,30,Male,30000,Yes,Car,50,2.8,others,others,others,others,-
28,40,Male,50000,No,-,50,34,Rickshaw,CNG,CNG,CNG,-
28,27,Male,17000,No,-,200,4.7,Walking,Bus,Bus,Bus,-
28,31,Male,25000,Yes,Motorcycle,500,9,Walking,Motorcycle,Motorcycle,Motorcycle,-
28,26,Male,20000,No,-,900,1.7,Walking,Bus,Bus,Bus,-
28,42,Male,32000,No,-,200,6.6,others,Bus,Bus,Bus,-
28,32,Male,12000,No,-,800,27,Walking,Bus,Bus,Bus,-
28,32,Male,100000,No,-,500,32,Walking,Bus,Bus,Bus,-
28,34,Male,35000,Yes,Motorcycle,950,2.4,Walking,Motorcycle,Motorcycle,Motorcycle,-
28,44,Male,30000,No,-,500,5.8,Walking,others,CNG,CNG,-
28,25,Male,35000,Yes,Motorcycle,500,2.8,Motorcycle,Motorcycle,Motorcycle,Motorcycle,-
28,20,Male,8000,No,-,200,1.1,Walking,Walking,Walking,Walking,-
28,36,Male,20000,No,-,950,4.8,Walking,Bus,Bus,Bus,-
28,20,Male,30000,No,-,500,9.3,Walking,Bus,Bus,Bus,-
