WARD NO,AGE,GENDER,MONTHLY INCOME,VEHICLE OWNERSHIP,"IF HAVE, VEHICLE TYPE",NEAREST STOP DISTANCE (m),REGUALR TRAVEL DISTANCE (km),TRAVEL MODE FOR LESS THAN 5KM,REGULAR TRAVEL MODE,WORK,SHOPPING,SOCIAL LIFE
2,36,Male,20000,No,,500,3.5,Bus,Bus,Bus,Bus,
2,27,Male,18000,No,Motorcycle,350,4.2,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Motorcycle
2,25,Male,15000,No,,900,5,Bus,Laguna,Bus,Laguna,
2,22,Female,8000,No,,450,2.5,Bus,Bus,Bus,Bus,
2,20,Male,0,No,,400,3,Walking,Bus,Bus,Bus,
2,45,Male,30000,No,,350,4,Rickshaw,Bus,Bus,Bus,
2,50,Male,45000,Yes,CNG,250,4.5,CNG,CNG,CNG,CNG,CNG
2,56,Male,35000,Yes,CNG,1000,4,CNG,CNG,CNG,CNG,CNG
2,36,Male,24000,Yes,Motorcycle,300,5.6,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Motorcycle
2,34,Male,19500,No,,250,2.8,Bus,Laguna,Bus,Laguna,
2,30,Female,12000,No,,200,1.8,Laguna,Bus,Bus,Bus,
2,33,Male,18000,Yes,Motorcycle,600,2.2,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Motorcycle
2,26,Female,13000,No,,250,3.6,Rickshaw,Bus,Bus,Bus,
2,28,Male,24000,Yes,Motorcycle,500,3.6,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Motorcycle
2,44,Male,35000,Yes,Motorcycle,350,4.5,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Motorcycle
2,38,Male,24000,No,,200,3.2,Bus,Bus,Bus,Bus,
2,52,Male,50000,Yes,CNG,150,4,CNG,CNG,CNG,CNG,CNG
2,45,Male,32000,No,,450,5,Rickshaw,Bus,Bus,Bus,
2,36,Male,16000,No,,350,3.2,Laguna,Mahindra,Laguna,Mahindra,
2,22,Female,15000,No,,300,2,Rickshaw,Bus,Bus,Bus,
2,24,Female,12000,No,,250,1.8,Bus,Rickshaw,Rickshaw,Rickshaw,
4,33,Male,28000,Yes,Motorcycle,250,18,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Motor cycle
4,39,Male,22000,No,,50,3.8,Bus,Bus,Bus,Walking,Walking
4,17,Male,5000,No,,50,13,Bus,Bus,Walking,Walking,Bus
4,27,Male,20000,No,,100,5.4,Bus,Bus,Bus,Walking,Walking
4,31,Male,25000,No,,300,2.3,Bus,Bus,Bus,Rickshaw,CNG
4,19,Male,18000,No,,50,1.2,Bus,Mahindra,Mahindra,Walking,Walking
4,20,Female,0,No,,50,9.4,Bus,Bus,,Rickshaw,CNG
4,48,Male,35000,No,,100,0.75,CNG,Walking,Walking,Rickshaw,Rickshaw
4,16,Male,0,No,,150,10,Bus,Bus,Bus,Walking,Walking
4,18,Male,8000,No,,100,1,Walking,Walking,Walking,Walking,Bus
4,42,Male,30000,No,,100,13,Bus,Bus,Bus,Walking,Bus
4,24,Male,15000,No,,50,18,Bus,Bus,Bus,Walking,Rickshaw
4,27,Male,18000,Yes,Motorcycle,200,2,Motorcycle,Motorcycle,Motorcycle,Motorcycle,CNG
4,39,Male,30000,No,,100,9.2,Bus,Bus,Bus,Rickshaw,Rickshaw
4,25,Male,16000,No,,150,3.3,Bus,Bus,Bus,Walking,Walking
4,23,Female,7000,No,,150,7.1,Laguna,Bus,Bus,Rickshaw,Bus
4,39,Male,40000,Yes,Motorcycle,100,13,Rickshaw,Bus,Bus,Rickshaw,CNG
4,21,Male,12000,No,,50,5.5,Mahindra,Mahindra,Rickshaw,Walking,CNG
4,31,Male,25000,No,,100,8,Bus,Bus,Bus,Walking,Bus
4,61,Male,30000,No,,50,1,Rickshaw,Rickshaw,Rickshaw,Rickshaw,Rickshaw
4,17,Male,6000,No,,100,0.5,Bus,Walking,Walking,Walking,Bus
4,33,Female,22000,No,,50,6.8,Bus,Bus,Bus,Rickshaw,Rickshaw
4,21,Male,9000,No,,100,8.2,Bus,Bus,Bus,Walking,Bus
4,36,Male,25000,Yes,Motorcycle,100,6.3,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Motor cycle
4,29,Male,18000,No,,200,1.2,Bus,Walking,Walking,Walking,Bus
4,16,Female,0,No,,50,1.3,Rickshaw,Rickshaw,,Walking,Rickshaw
4,43,Male,35000,No,,250,7.2,Bus,Bus,Bus,Walking,Bus
4,26,Male,15000,No,,100,1.6,Laguna,Laguna,Laguna,Walking,Walking
4,34,Male,30000,No,,150,2.3,Bus,Bus,Bus,Rickshaw,Bus
4,16,Male,8000,Yes,Motorcycle,100,1.7,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Motor cycle
6,28,Male,22000,Yes,Motorcycle,50,7.2,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Motor cycle
6,33,Male,19000,No,,100,3.8,Bus,Bus,Bus,Walking,Walking
6,17,Male,8000,No,,200,5.6,Bus,Bus,Walking,Walking,Bus
6,47,Male,28000,No,,100,5.4,Bus,Bus,Bus,Walking,Walking
6,39,Male,25000,No,,300,6.5,Bus,Bus,Bus,Rickshaw,CNG
6,19,Male,18000,No,,50,1.2,Bus,Laguna,Walking,Walking,Walking
6,27,Female,22000,No,,200,3.8,Bus,Bus,Bus,Rickshaw,CNG
6,44,Male,35000,No,,100,1.2,CNG,Walking,Walking,Rickshaw,Rickshaw
6,18,Male,0,No,,150,10,Bus,Bus,,Walking,Walking
6,16,Male,8000,No,,100,1,Walking,Walking,Walking,Walking,Bus
6,38,Male,30000,No,,100,8.8,Bus,Bus,Bus,Walking,Bus
6,26,Male,15000,No,,50,11,Bus,Bus,Bus,Walking,Rickshaw
6,22,Male,18000,Yes,Motorcycle,200,2.1,Motorcycle,Motorcycle,Motorcycle,Motorcycle,CNG
6,37,Male,30000,No,,150,4.3,Bus,Bus,Bus,Rickshaw,Rickshaw
6,21,Female,16000,No,,150,3.8,Bus,Bus,Bus,Walking,Walking
6,20,Female,7000,No,,150,2.5,Laguna,Bus,Bus,Rickshaw,Bus
6,49,Male,40000,Yes,Motorcycle,100,7,Rickshaw,Motorcycle,Motorcycle,Motorcycle,CNG
6,23,Male,12000,No,,50,5.9,Mahindra,Bus,Bus,Walking,Bus
6,25,Male,26000,No,,200,8,Bus,Bus,Bus,Walking,Bus
6,58,Male,30000,No,,100,1.8,Rickshaw,Rickshaw,Rickshaw,Rickshaw,Rickshaw
6,17,Male,8000,No,,100,2.6,Bus,Laguna,Walking,Walking,Bus
6,26,Female,22000,No,,50,4.9,Bus,Bus,Bus,Rickshaw,Rickshaw
6,19,Male,9000,No,,100,6.6,Bus,Bus,Bus,Walking,Bus
6,35,Male,25000,Yes,Motorcycle,100,2.5,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Motor cycle
6,23,Male,18000,No,,200,1.2,Bus,Walking,Walking,Walking,Bus
6,18,Female,0,No,,50,2,Rickshaw,Rickshaw,,Walking,Rickshaw
6,45,Male,35000,No,,150,8.8,Bus,Bus,Bus,Walking,Bus
6,24,Male,15000,No,,100,1.6,Laguna,Laguna,Laguna,Walking,Walking
6,38,Male,30000,No,,150,3.5,Bus,Bus,Bus,Rickshaw,Bus
6,17,Male,7000,Yes,Motorcycle,100,1.8,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Motor cycle
16,56,Male,60000,No,,150,1.3,Rickshaw,Rickshaw,Rickshaw,Rickshaw,CNG
16,37,Male,25000,No,,100,2.4,Bus,Bus,Bus,Walking,Walking
16,28,Male,20000,No,,100,3.8,Laguna,Laguna,Laguna,Walking,Bus
16,22,Male,10000,No,,100,1.8,Bus,Laguna,Walking,Walking,Walking
16,20,Female,8000,No,,100,0.8,Rickshaw,Walking,Walking,Rickshaw,Rickshaw
16,33,Male,28000,No,,200,3.1,Bus,Bus,Bus,Walking,Walking
16,17,Male,6000,No,,50,5,Bus,Laguna,Walking,Walking,Bus
16,25,Male,16000,Yes,Motorcycle,100,1,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Motor cycle
16,42,Male,22000,No,,200,4.2,Bus,Bus,Bus,Walking,Walking
16,20,Male,12000,Yes,Motorcycle,50,4.4,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Motor cycle
16,24,Male,10000,No,,100,2.4,Bus,Bus,Walking,Walking,Bus
16,19,Male,10000,No,,150,1,Bus,Laguna,Laguna,Walking,Rickshaw
16,48,Male,35000,Yes,Motorcycle,150,6.1,Motorcycle,Motorcycle,Motorcycle,Motorcycle,CNG
16,43,Male,30000,No,,50,2.5,Bus,Bus,Bus,Rickshaw,Rickshaw
16,20,Male,8000,Yes,Motorcycle,200,4,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Walking
16,23,Female,6000,No,,50,1.3,Rickshaw,Rickshaw,Walking,Rickshaw,CNG
16,18,Male,3000,No,,50,5,Bus,Laguna,Walking,Walking,Walking
16,24,Male,9000,No,,100,2.6,Laguna,Laguna,Walking,Walking,Bus
16,33,Male,22000,No,,250,5.1,Bus,Bus,,Walking,Bus
16,37,Male,28000,Yes,Motorcycle,100,11,Bus,Bus,Motorcycle,Motorcycle,Motor cycle
16,21,Male,12000,Yes,Motorcycle,150,3.4,Laguna,Laguna,Motorcycle,Motorcycle,Walking
16,53,Male,45000,No,,50,16,Bus,Bus,Bus,Rickshaw,CNG
16,27,Male,30000,Yes,Motorcycle,50,1,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Motor cycle
16,31,Male,35000,No,,100,19,Bus,Bus,Bus,Rickshaw,Bus
16,20,Male,10000,No,,200,1.2,Bus,Laguna,Bus,Walking,Bus
16,17,Female,0,No,,50,1,Rickshaw,Rickshaw,,Walking,Rickshaw
16,43,Male,25000,No,,100,2.1,Bus,Bus,Bus,Walking,Bus
16,19,Male,0,No,,150,2,Bus,Laguna,,Walking,Walking
16,46,Male,30000,No,,250,3.3,Bus,Bus,Bus,Rickshaw,CNG
16,31,Female,0,No,,100,0.5,Rickshaw,Rickshaw,,Rickshaw,
21,16,Male,3000,No,,100,1.7,Walking,Laguna,Walking,Walking,Bus
21,42,Male,20000,No,,200,1.7,Bus,Laguna,Laguna,Walking,Rickshaw
21,22,Male,12000,Yes,Motorcycle,50,4.9,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Motor cycle
21,27,Female,18000,No,,100,0.4,Rickshaw,Walking,Walking,Walking,Walking
21,32,Male,40000,Yes,Motorcycle,150,2.3,Motorcycle,Motorcycle,Motorcycle,Walking,Motor cycle
21,26,Male,12000,Yes,Motorcycle,300,3.7,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Motor cycle
